"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Inbetriebnahmedatum der Einheit am aktuellen Standort";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Gemeinde";"Landkreis";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Überwiegende Nutzungsart der Fläche vor Errichtung";"Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung";"Größe der in Anspruch genommenen Fläche in Hektar";"Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung";"Technologie der Stromerzeugung";"Volleinspeisung oder Teileinspeisung";"Art der Solaranlage";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Hauptneigungswinkel der Solar-Module";"Nutzungsbereich des Gebäudes mit Solaranlage";"Name des Solarparks";"Lichte Höhe in Meter";"Name des Windparks";"Wind an Land oder auf See";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"MaStR-Nr. der Speichereinheit";"Speichertechnologie";"Nutzbare Speicherkapazität in kWh";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE985818635128";"V20217";"In Betrieb";"Wind";"2000";"2000";"12/1/2004";"";"9/3/2019";"Brandenburg";"15345";"Altlandsberg";"Alte Dorfstraße";"1";"";"";"12064029";"Altlandsberg";"Märkisch-Oderland";"52,602453";"13,789959";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Altlandsberg";"Windkraft an Land";"105";"90";"Vestas Deutschland GmbH";"V90-2MW";"";"";"";"";"12/14/2023";"";"";"Windpark Wriezener Höhe GmbH & Co. KG";"ABR924674808260";"SGE930619687050";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL906638403322";"EEG910993068881";"E41860010000000000602147220400001";"12/1/2004";"2000";"";"";"";"";""
"SEE954065333897";"GE 25163682-01";"In Betrieb";"Wind";"2530";"2530";"3/18/2017";"";"2/5/2019";"Brandenburg";"15936";"Dahmetal";"";"";"Görsdorf";"Flur5: 171, 172.";"12072055";"Dahmetal";"Teltow-Fläming";"51,89262";"13,49091";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Dahme-Zagelsdorf 4";"Windkraft an Land";"120";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"6/12/2025";"";"";"Windpark Dahme-Zagelsdorf 4 GmbH & Co. KG";"ABR903329840572";"SGE970706399435";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL910953022144";"EEG972555160839";"E4186001EA01000000000082827500005";"3/18/2017";"2530";"";"";"";"";""
"SEE998780160123";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"748,44";"594";"12/14/2017";"";"2/4/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur 1: 174, 175, 176, 177, 178, 180, 181, 182";"12071301";"Neuhausen/Spree";"Spree-Neiße";"51,707562";"14,483754";"Landwirtschaft - Ackerland";"Vegetation";"1,13";"Benachteiligtes Gebiet, Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"2772";"Süd";"5 - 20 Grad";"";"Sergen Feld 1 (750)";"";"";"";"";"";"";"";"";"";"";"";"10/20/2025";"";"";"SP VIII  GmbH & Co.KG";"ABR939206575732";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG907910396554";"E41081010000000000000000000266040";"12/14/2017";"748,44";"";"";"";"";""
"SEE948721850590";"V 212502";"In Betrieb";"Wind";"3450";"3450";"12/23/2016";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Flur 12, Flurstück 9";"12067237";"Jacobsdorf";"Oder-Spree";"52,361379";"14,367995";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"10/9/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939791464985";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL902983194274";"EEG974147301446";"E4186001SZP0000000000086863800002";"12/23/2016";"3450";"";"";"";"";""
"SEE933244215582";"WEA 2";"In Betrieb";"Wind";"2530";"2530";"6/3/2016";"";"2/5/2019";"Brandenburg";"15936";"Dahmetal";"";"";"Görsdorf";"Flur5: 140, 141";"12072055";"Dahmetal";"Teltow-Fläming";"51,89041";"13,48451";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Dahme-Zagelsdorf 4";"Windkraft an Land";"120";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"2/4/2025";"";"";"Windpark Dahme-Zagelsdorf 4 GmbH & Co. KG";"ABR903329840572";"SGE970706399435";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL901427699870";"EEG918451956091";"E4186001EA01000000000082827500001";"6/3/2016";"2530";"";"";"";"";""
"SEE970240259233";"V 212503";"In Betrieb";"Wind";"3450";"3450";"2/20/2017";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Sieversdorf Flur 11, Flurstück 14";"12067237";"Jacobsdorf";"Oder-Spree";"52,359065";"14,370774";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"10/10/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939791464985";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL909796203636";"EEG976344572346";"E4186001SZP0000000000086863800006";"2/20/2017";"3450";"";"";"";"";""
"SEE978150569985";"V 212504";"In Betrieb";"Wind";"3450";"3450";"1/20/2017";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Sieversdorf Flur 11, Flurstück 2/2";"12067237";"Jacobsdorf";"Oder-Spree";"52,357793";"14,366622";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"11/19/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939791464985";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL902983194274";"EEG990216272738";"E4186001SZP0000000000086863800004";"1/20/2017";"3450";"";"";"";"";""
"SEE988550532632";"WEA 3";"In Betrieb";"Wind";"2530";"2530";"6/16/2016";"";"2/5/2019";"Brandenburg";"15936";"Dahmetal";"";"";"Görsdorf";"Flur5: 157, 158.";"12072055";"Dahmetal";"Teltow-Fläming";"51,88972";"13,48968";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Dahme-Zagelsdorf 4";"Windkraft an Land";"120";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"2/6/2025";"";"";"Windpark Dahme-Zagelsdorf 4 GmbH & Co. KG";"ABR903329840572";"SGE970706399435";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL901427699870";"EEG905966567829";"E4186001EA01000000000082827500003";"6/16/2016";"2530";"";"";"";"";""
"SEE971732258345";"V 212505";"In Betrieb";"Wind";"3450";"3450";"2/1/2017";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Jacobsdorf Flur 1, Flurstück 208";"12067237";"Jacobsdorf";"Oder-Spree";"52,355317";"14,365909";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"7/8/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939791464985";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL989998651916";"EEG938576724634";"E4186001SZP0000000000086863800005";"2/1/2017";"3450";"";"";"";"";""
"SEE971944619491";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"1999,48";"1584";"2/21/2018";"";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur1: 174, 175, 176, 177, 178, 180, 181";"12071301";"Neuhausen/Spree";"Spree-Neiße";"51,707562";"14,483754";"Landwirtschaft - Ackerland";"Vegetation";"3,03";"Benachteiligtes Gebiet, Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"7364";"Süd";"5 - 20 Grad";"";"Sergen Feld 3 (2.000)";"";"";"";"";"";"";"";"";"";"";"";"10/20/2025";"";"";"SP VIII  GmbH & Co.KG";"ABR939206575732";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG915347591046";"E41081010000000000000000000266041";"2/21/2018";"1999,48";"FFA16-2/044,";"";"";"";""
