"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Inbetriebnahmedatum der Einheit am aktuellen Standort";"Registrierungsdatum der Einheit";"Anzahl angeschlossener Stromverbrauchseinheiten größer 50 MW";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation"
"SVE958928115675";"UW Möthlitz";"In Betrieb";"5/10/2012";"";"4/23/2019";"0";"Brandenburg";"14715";"Milower Land";"Straße der Technik";"";"";"";"52,46793";"12,390382";"5/3/2022";"";"";"EBLD Windpark Möthlitz GmbH";"ABR929016079162";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL912255299941"
"SVE952146668906";"BES Brandenburger Elektrostahlwerke GmbH";"In Betrieb";"5/1/1992";"";"5/8/2019";"2";"Brandenburg";"14770";"Brandenburg";"Woltersdorfer Straße";"40";"";"";"52,393";"12,502";"5/28/2019";"";"";"BES Brandenburger Elektrostahlwerke GmbH";"ABR949984835799";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SVL937176843233"
"SVE996089250224";"HES Hennigsdorfer Elektrostahlwerke GmbH";"In Betrieb";"5/1/1992";"";"5/8/2019";"2";"Brandenburg";"16761";"Hennigsdorf";"Wolfgang-Küntscher-Straße";"18";"";"";"52,64";"13,2";"5/28/2019";"";"";"H.E.S. Hennigsdorfer Elektrostahlwerke GmbH";"ABR957802208212";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SVL932825564316"
"SVE946173945567";"WP Bliesdorf";"In Betrieb";"6/1/2001";"";"7/30/2019";"0";"Brandenburg";"16269";"Bliesdorf";"Am Alten Kanal";"";"";"";"52,69943";"14,189358";"9/6/2019";"";"";"Neue GHF Windpark Bliesdorf-Ketzin GmbH & Co. KG";"ABR946965613322";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SVL928613951611"
"SVE979226673155";"enercity WP Klettwitz";"In Betrieb";"12/19/1999";"";"10/4/2019";"0";"Brandenburg";"01979";"Lauchhammer";"Unterdorfstraße";"999 R";"";"";"51,536172";"13,835768";"4/1/2026";"";"";"enercity Windpark Klettwitz GmbH & Co. KG";"ABR927611718769";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SVL920478783802"
"SVE946290761354";"WEA01-83157";"In Betrieb";"9/24/2014";"";"9/24/2020";"0";"Brandenburg";"15868";"Jamlitz";"";"";"Ullersdorf";"Flur 1, Flurstück 207";"52,067703";"14,367788";"1/25/2022";"";"";"Iqony Windpark Ullersdorf GmbH & Co. KG";"ABR952406554352";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL935680925001"
"SVE907689145223";"WP Christinendorf";"In Betrieb";"1/7/2009";"";"6/9/2020";"0";"Brandenburg";"14959";"Trebbin";"An den Eichen";"";"";"";"52,205792";"13,294744";"2/15/2022";"";"";"enercity Windpark Portfolio GmbH & Co. KG";"ABR903729451323";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL990484680761"
"SVE959468306127";"UW Beeskow";"In Betrieb";"11/26/2002";"";"6/9/2020";"0";"Brandenburg";"15848";"Rietz-Neuendorf";"Bornower Straße";"";"";"";"52,195775";"14,215107";"5/10/2022";"";"";"enercity Umspannwerke GmbH";"ABR975307128620";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL919761471939"
"SVE929897856883";"Vindpark DE ApS";"In Betrieb";"12/18/2002";"";"8/4/2020";"";"Brandenburg";"16845";"Bückwitz";"";"";"Bückwitz";"Flur3:65";"52";"12";"8/20/2020";"";"";"Bückwitz Vindpark DE ApS";"ABR951908818573";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Mittelspannung";"SVL921906326110"
"SVE956608641995";"SVE - EEW Großräschen GmbH";"In Betrieb";"9/24/2007";"";"9/1/2020";"0";"Brandenburg";"01983";"Großräschen";"Bergmannstraße";"29";"";"";"51,58028";"13,97837";"9/15/2022";"";"";"EEW Energy from Waste Großräschen GmbH";"ABR964713805508";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SVL993584182531"
"SVE965167105015";"WEA02-83155";"In Betrieb";"9/15/2014";"";"9/24/2020";"0";"Brandenburg";"15868";"Jamlitz";"";"";"Ullersdorf";"Flur 1, Flurstück 207";"52,064666";"14,374818";"1/25/2022";"";"";"Iqony Windpark Ullersdorf GmbH & Co. KG";"ABR952406554352";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL945768312692"
"SVE910702522796";"WEA04-83152";"In Betrieb";"7/18/2014";"";"9/24/2020";"0";"Brandenburg";"15868";"Jamlitz";"";"";"Ullersdorf";"Flur 2, Flurstück 392/9";"52,058035";"14,387659";"1/25/2022";"";"";"Iqony Windpark Ullersdorf GmbH & Co. KG";"ABR952406554352";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL913685791838"
"SVE998286256450";"WEA05-83149";"In Betrieb";"7/1/2014";"";"9/24/2020";"0";"Brandenburg";"15868";"Jamlitz";"";"";"Ullersdorf";"Flur 2, Flurstück 392/9";"52,054299";"14,395527";"1/25/2022";"";"";"Iqony Windpark Ullersdorf GmbH & Co. KG";"ABR952406554352";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL930139378957"
"SVE942872444134";"WEA06-83151";"In Betrieb";"5/28/2014";"";"9/24/2020";"0";"Brandenburg";"15868";"Jamlitz";"";"";"Ullersdorf";"Flur 2, Flurstück 392/9";"52,051031";"14,398138";"1/25/2022";"";"";"Iqony Windpark Ullersdorf GmbH & Co. KG";"ABR952406554352";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL908887124812"
"SVE951919892227";"WEA07-83165";"In Betrieb";"9/15/2014";"";"9/24/2020";"0";"Brandenburg";"15868";"Jamlitz";"";"";"Ullersdorf";"Flur 1, Flurstück 204";"52,068681";"14,354046";"1/25/2022";"";"";"Iqony Windpark Ullersdorf GmbH & Co. KG";"ABR952406554352";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL900651081628"
"SVE989080222246";"WEA08-83160";"In Betrieb";"7/22/2014";"";"9/30/2020";"0";"Brandenburg";"15868";"Jamlitz";"";"";"Ullersdorf";"Flur 1, Flurstück 207";"52,065597";"14,362259";"1/25/2022";"";"";"Iqony Windpark Ullersdorf GmbH & Co. KG";"ABR952406554352";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SVL930487669776"
