plant_id,plant_name,technology,capacity_kw,capacity_mw,capacity_factor,energy_mwh,plant_postcode,plant_ort,plant_municipality,plant_district,plant_location_id,substation_id,substation_name,substation_operator,substation_voltage,substation_type,distance_to_substation_m
SEE985818635128,V20217,Wind,2000.0,2.0,0.32,5606.400000000001,15345,Altlandsberg,Altlandsberg,Märkisch-Oderland,SEL906638403322,1944,Wegendorf TS WKA,,,,1998.0139885931037
SEE954065333897,GE 25163682-01,Wind,2530.0,2.53,0.32,7092.096,15936,Dahmetal,Dahmetal,Teltow-Fläming,SEL910953022144,179,,,,,1773.8148416160736
SEE998780160123,PV-Anlage Sergen,Solare Strahlungsenergie,594.0,0.594,0.12,624.4128,3058,Neuhausen,Neuhausen/Spree,Spree-Neiße,SEL964706406811,3163,,enviaM,,minor_distribution,1338.941576470562
SEE948721850590,V 212502,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL902983194274,2347,Jacobsdorf,MLK,110000,generation,1909.2998407364594
SEE933244215582,WEA 2,Wind,2530.0,2.53,0.32,7092.096,15936,Dahmetal,Dahmetal,Teltow-Fläming,SEL901427699870,179,,,,,2201.0651812606407
SEE970240259233,V 212503,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL909796203636,2347,Jacobsdorf,MLK,110000,generation,1764.83416413831
SEE978150569985,V 212504,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL902983194274,2347,Jacobsdorf,MLK,110000,generation,1506.1768761475446
SEE988550532632,WEA 3,Wind,2530.0,2.53,0.32,7092.096,15936,Dahmetal,Dahmetal,Teltow-Fläming,SEL901427699870,179,,,,,2103.277536636566
SEE971732258345,V 212505,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL989998651916,2347,Jacobsdorf,MLK,110000,generation,1237.9672282235963
SEE971944619491,PV-Anlage Sergen,Solare Strahlungsenergie,1584.0,1.584,0.12,1665.1008,3058,Neuhausen,Neuhausen/Spree,Spree-Neiße,SEL964706406811,3163,,enviaM,,minor_distribution,1338.941576470562
SEE975094493437,WEA 4,Wind,2530.0,2.53,0.32,7092.096,15936,Dahme,Dahme/Mark,Teltow-Fläming,SEL901427699870,179,,,,,2627.1458029146097
SEE977118064012,V 212506,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL989998651916,2347,Jacobsdorf,MLK,110000,generation,1186.5969813239626
SEE963764933994,V 212507,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL943000953160,2347,Jacobsdorf,MLK,110000,generation,693.9004159827667
SEE985641656390,PV-Anlage Sergen,Solare Strahlungsenergie,3708.0,3.708,0.12,3897.8496,3058,Neuhausen,Neuhausen/Spree,Spree-Neiße,SEL964706406811,3163,,enviaM,,minor_distribution,1338.941576470562
SEE923923348991,WEA 5,Wind,2530.0,2.53,0.32,7092.096,15936,Dahme,Dahme/Mark,Teltow-Fläming,SEL901427699870,2860,,,,yes,2611.4117492015157
SEE978883707494,V 212508,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL902983194274,2347,Jacobsdorf,MLK,110000,generation,2063.4954386875525
SEE938820181329,PV-Anlage Sergen,Solare Strahlungsenergie,1962.0,1.962,0.12,2062.4543999999996,3058,Neuhausen,Neuhausen/Spree,Spree-Neiße,SEL964706406811,3163,,enviaM,,minor_distribution,1338.941576470562
SEE943618043789,V 212509,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL989998651916,2347,Jacobsdorf,MLK,110000,generation,1447.3220549870202
SEE969121787637,V 212510,Wind,3450.0,3.45,0.32,9671.04,15236,Jacobsdorf,Jacobsdorf,Oder-Spree,SEL989998651916,2782,Petersdorf,,110000,generation,1263.444401752674
SEE976721859220,PV-Anlage Frauendorf,Solare Strahlungsenergie,7800.0,7.8,0.12,8199.36,3058,Neuhausen,Neuhausen/Spree,Spree-Neiße,SEL964706406811,120,Gallinchen GG 4.2.,enviaM RWE,,minor_substation,2044.2623215867839
