substation_id,substation_name,substation_operator,substation_voltage,substation_type,total_capacity_mw,total_energy_mwh,n_plants,n_wind,n_solar,avg_distance_to_substation_m,max_distance_to_substation_m
1002,,,,minor_distribution,0.032,33.6384,1,0,1,411.6495779127413,411.6495779127413
1042,,e.dis,,,69.3,72848.16,3,0,3,3577.4150455803997,3588.622524023222
107,,,,,15.866,30694.339200000002,5,4,1,2190.1826546830484,2802.8598330933232
1107,,,,,27.96694,29398.847328,7,0,7,1345.6263994346543,1895.9868813214064
1110,TrSt Karlstein,E.DIS Netz GmbH,,minor_distribution,42.45,118995.84,9,9,0,1358.2103226420177,1879.848599557109
1111,Bandelow Dorf I,E.DIS Netz GmbH,,minor_distribution,81.9,229582.08000000002,21,21,0,2712.6803970550104,5500.927746227473
1126,,,,generation,4.0,11212.800000000001,2,2,0,1504.511779538474,1504.511779538474
1140,Wendemark Wasserwerk,E.DIS Netz GmbH,,,19.43,54466.176,9,9,0,1211.6199904806983,1866.5963915183722
1141,,,,,5.7,15978.24,1,1,0,5426.054370653441,5426.054370653441
120,Gallinchen GG 4.2.,enviaM RWE,,minor_substation,11.82,12425.184000000001,3,0,3,2044.3083964647255,2044.3314339036965
1217,,,,minor_distribution,58.457143,61450.1487216,2,0,2,1418.2082906283335,1418.2082906283335
1275,,e.dis,,minor_distribution,17.3,48495.36,3,3,0,988.6445344051855,1171.773284472103
1284,,E.DIS Netz,,yes,2.0,5606.400000000001,1,1,0,2898.547666570906,2898.547666570906
1285,Station Brüssow Löcknitzer Straße,E.DIS Netz,,,42.0,117734.40000000001,21,21,0,2393.118855459778,3424.8322336116357
1286,,,,generation,15.5,43449.600000000006,9,9,0,1150.8292876948756,1591.5245676978336
1287,,,,generation,3.0,8409.6,2,2,0,701.6887984848827,883.60000151993
1288,,,,generation,2.0,5606.400000000001,1,1,0,1128.9173003149738,1128.9173003149738
1289,,,,generation,26.078400000000002,33720.814080000004,7,6,1,4723.18416256816,8874.278535597108
1290,,,,generation,23.0,64473.600000000006,12,12,0,5858.455335874813,6456.040257150597
1295,,E.DIS Netz,,,3.0,8409.6,2,2,0,6053.548818542191,6163.455111090493
1305,Wolfshagen Dorf,E.DIS Netz,,,1.5,4204.8,1,1,0,6397.2316212793585,6397.2316212793585
1311,,e.dis,,minor_distribution,4.6,12894.720000000001,2,2,0,1953.675186416985,2077.4350472820147
1313,,,,generation,41.4,116052.48000000001,19,19,0,1748.987711717694,2470.5774787560463
1364,Schaltwerk Nitzahn,DB Energie GmbH,110000,transmission,58.695,61700.183999999994,4,0,4,2866.0867395384785,3277.9100826318004
