plant_id,plant_name,technology,plant_municipality,plant_ort,commissioning_date,grid_connection_level,capacity_mw,capacity_factor,energy_mwh_annual,substation_id,substation_name,distance_m
SEE985818635128,V20217,Wind,Altlandsberg,Altlandsberg,12/1/2004,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,1998.0139885931037
SEE954065333897,GE 25163682-01,Wind,Dahmetal,Dahmetal,3/18/2017,Hochspannung,2.53,0.3,6648.839999999999,179,,1773.8148416160736
SEE998780160123,PV-Anlage Sergen,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,12/14/2017,Hochspannung,0.594,0.12,624.4128,3162,,1338.941576470562
SEE948721850590,V 212502,Wind,Jacobsdorf,Jacobsdorf,12/23/2016,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1909.2998407364594
SEE933244215582,WEA 2,Wind,Dahmetal,Dahmetal,6/3/2016,Hochspannung,2.53,0.3,6648.839999999999,179,,2201.0651812606407
SEE970240259233,V 212503,Wind,Jacobsdorf,Jacobsdorf,2/20/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1764.83416413831
SEE978150569985,V 212504,Wind,Jacobsdorf,Jacobsdorf,1/20/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1506.1768761475446
SEE988550532632,WEA 3,Wind,Dahmetal,Dahmetal,6/16/2016,Hochspannung,2.53,0.3,6648.839999999999,179,,2103.277536636566
SEE971732258345,V 212505,Wind,Jacobsdorf,Jacobsdorf,2/1/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1237.9672282235963
SEE971944619491,PV-Anlage Sergen,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,2/21/2018,Hochspannung,1.584,0.12,1665.1008,3162,,1338.941576470562
SEE975094493437,WEA 4,Wind,Dahme/Mark,Dahme,6/16/2016,Hochspannung,2.53,0.3,6648.839999999999,179,,2627.1458029146097
SEE977118064012,V 212506,Wind,Jacobsdorf,Jacobsdorf,11/22/2016,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1186.5969813239626
SEE963764933994,V 212507,Wind,Jacobsdorf,Jacobsdorf,2/21/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,693.9004159827667
SEE985641656390,PV-Anlage Sergen,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,2/21/2018,Hochspannung,3.708,0.12,3897.8496,3162,,1338.941576470562
SEE923923348991,WEA 5,Wind,Dahme/Mark,Dahme,6/15/2016,Hochspannung,2.53,0.3,6648.839999999999,2859,,2611.4117492015157
SEE978883707494,V 212508,Wind,Jacobsdorf,Jacobsdorf,12/30/2016,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,2063.4954386875525
SEE938820181329,PV-Anlage Sergen,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,12/15/2017,Hochspannung,1.962,0.12,2062.4543999999996,3162,,1338.941576470562
SEE943618043789,V 212509,Wind,Jacobsdorf,Jacobsdorf,2/23/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1447.3220549870202
SEE969121787637,V 212510,Wind,Jacobsdorf,Jacobsdorf,2/27/2017,Hochspannung,3.45,0.3,9066.6,2781,Petersdorf,1263.444401752674
SEE976721859220,PV-Anlage Frauendorf,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,6/9/2017,Hochspannung,7.8,0.12,8199.36,120,Gallinchen GG 4.2.,2044.2623215867839
SEE911157803850,PV-Anlage Kahsel,Solare Strahlungsenergie,Cottbus,Neuhausen,10/26/2017,Hochspannung,2.52,0.12,2649.024,120,Gallinchen GG 4.2.,2044.3314339036965
SEE902442233360,WF Märkisch-Linden WEA 1 (Seriennummer FL 551),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,1821.2634728963112
SEE984973929837,PV-Dachanlage Kahsel,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,3/28/2018,Hochspannung,0.681,0.12,715.8672,1676,,2423.157116080233
SEE982823615473,WF Märkisch-Linden WEA 2 (Seriennummer FL 552),Wind,Märkisch Linden,Märkisch Linden,1/22/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,1775.4298465509285
SEE918939814394,DE-S-TURNOW-PRE,Solare Strahlungsenergie,Peitz,Turnow-Preilack,4/16/2009,Hochspannung,1.25,0.12,1314.0,1629,Peitz,1233.4989348518209
SEE907537939899,WF Märkisch-Linden WEA 3 (Seriennummer FL 553),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,815.1899699025234
SEE978608520667,WF Märkisch-Linden WEA 4 (Seriennummer FL 554),Wind,Märkisch Linden,Märkisch Linden,1/23/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,577.058631338884
SEE946385686357,WF Märkisch-Linden WEA 5 (Seriennummer FL 555),Wind,Märkisch Linden,Märkisch Linden,1/20/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,486.92707534696984
SEE999526177979,PV-Anlage Laubsdorf 1.BA,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,12/21/2018,Hochspannung,5.56,0.12,5844.672,2130,Umspannwerk Roggosen,1652.2261679240687
SEE919877394658,WF Märkisch-Linden WEA 6 (Seriennummer FL 556),Wind,Märkisch Linden,Märkisch Linden,2/4/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,607.9035750783697
SEE933490953979,PV-Anlage Laubsdorf 1.BA,Solare Strahlungsenergie,Cottbus,Neuhausen,1/18/2019,Hochspannung,2.1,0.12,2207.52,2130,Umspannwerk Roggosen,1652.2261679240687
SEE914028681946,WF Märkisch-Linden WEA 7 (Seriennummer FL 557),Wind,Märkisch Linden,Märkisch Linden,1/22/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,885.8678184987992
SEE981965198202,WF Märkisch-Linden WEA 8 (Seriennummer FL 558),Wind,Märkisch Linden,Märkisch Linden,1/6/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,1165.2405980382248
SEE948553761750,WF Märkisch-Linden WEA 9 (Seriennummer FL 559),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1371.2632456239273
SEE982552141472,WF Märkisch-Linden WEA 10 (Seriennummer FL 560),Wind,Märkisch Linden,Märkisch Linden,6/26/2008,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,201.088204794871
SEE920651643305,WF Märkisch-Linden WEA 12 (Seriennummer FL 562),Wind,Märkisch Linden,Märkisch Linden,5/20/2008,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,123.86549500849087
SEE959325922958,L2 Lücke 2,Wind,Schenkenberg,Schenkenberg,3/12/2016,Höchstspannung,2.78,0.3,7305.839999999999,2663,Uckerthal,2853.7115248351206
SEE953711247748,WF Märkisch-Linden WEA 13 (Seriennummer FL 563),Wind,Märkisch Linden,Märkisch Linden,1/13/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,445.5541301654653
SEE916332403214,WF Märkisch-Linden WEA 14 (Seriennummer FL 564),Wind,Märkisch Linden,Märkisch Linden,1/21/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,746.0021148282945
SEE968225260886,WF Märkisch-Linden WEA15 (Seriennummer FL 565),Wind,Märkisch Linden,Märkisch Linden,1/16/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,1052.2995134934456
SEE949843189186,WF Märkisch-Linden WEA 16 (Seriennummer FL 566),Wind,Märkisch Linden,Märkisch Linden,1/21/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,1361.0878160234993
SEE963545227632,WF Märkisch-Linden WEA 17 (Seriennummer FL 567),Wind,Märkisch Linden,Märkisch Linden,1/13/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1649.1110738982045
SEE969496044793,WF Märkisch-Linden WEA 18 (Seriennummer FL 568),Wind,Märkisch Linden,Märkisch Linden,1/11/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1549.0938063203466
SEE972914043292,WF Märkisch-Linden WEA 19 (Seriennummer FL 569),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,468.7706505648758
SEE954071020965,WF Märkisch-Linden WEA 20 (Seriennummer FL 570),Wind,Märkisch Linden,Märkisch Linden,1/23/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1148.4468551881273
SEE955527325085,WF Märkisch-Linden WEA 21 (Seriennummer FL 561),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1509.474628481659
SEE957533408233,RCP Solarpark Fürstenwalde,Solare Strahlungsenergie,Fürstenwalde/Spree,Fürstenwalde,12/9/2011,Hochspannung,4.32,0.12,4541.184,1648,Fürstenwalde Flugplatz,1362.572066212669
SEE901731820847,V201624,Wind,Sydower Fließ,Sydower Fließ,8/23/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,427.77990134202287
SEE967142227637,V201625,Wind,Sydower Fließ,Sydower Fließ,8/23/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,227.99957541665538
SEE916547345040,V201626,Wind,Sydower Fließ,Sydower Fließ,7/22/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,626.4061109860559
SEE946637214581,V201627,Wind,Sydower Fließ,Sydower Fließ,7/30/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,579.3099934343215
SEE949239845351,V201628,Wind,Sydower Fließ,Sydower Fließ,7/29/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,1004.6305993478245
