substation_id,substation_name,n_plants,n_wind,n_solar,total_capacity_mw,total_energy_mwh_annual,avg_distance_m
0,Station Herrenstein,,,,,,
1,Templin Sportplatz,,,,,,
2,Herzfelde KSL,,,,,,
3,TS Friedensplatz,,,,,,
4,Mittenwalde Herzfelder Damm,,,,,,
5,,,,,,,
6,Kienwerder Dorf,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,Trafostation Bahnhof Wustermark,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,Kundenstation DHL,,,,,,
20,,,,,,,
21,,,,,,,
22,Dannenwalde Dorf,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,UW Thyrow Trafostation,,,,,,
28,,,,,,,
29,,,,,,,
30,Neuheimer Weg,,,,,,
31,Bülowstraße,,,,,,
32,,,,,,,
33,,1.0,1.0,0.0,2.3,6044.4,3064.404019691955
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,Gewerbe Nord,,,,,,
41,TST Werkstraße,,,,,,
42,Bhf. Finkenkrug,,,,,,
43,Kirche,,,,,,
44,,,,,,,
45,Seegefelder Straße,,,,,,
46,Dannenwalde Übergabe,,,,,,
47,Wagnerallee,,,,,,
48,,,,,,,
49,Seilershof Fischerwall,,,,,,
50,,,,,,,
51,Umspannwerk Ruhrstraße,,,,,,
52,Polizei (Straße der Jugend),,,,,,
53,Eurostahl,,,,,,
54,,,,,,,
55,Zum Röthepfuhl,,,,,,
56,Weinberg,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,Dorfstraße,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,TrSr Spechtstraße,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,Trafo Trechwitz Siedlung 1,,,,,,
75,,,,,,,
76,Kirchplatz,,,,,,
77,Gransee Trockenwerk,,,,,,
78,,,,,,,
79,,,,,,,
80,TrSt Am Grössinsee,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,Neumarkt 1,,,,,,
85,Zehdenick Kirchplatz,,,,,,
86,KPS Heidehof,52.0,52.0,0.0,110.3,289868.39999999997,1730.9772169291432
87,Trafostation,,,,,,
88,Trafostation,,,,,,
89,,,,,,,
90,,,,,,,
91,Trafostation,,,,,,
92,,,,,,,
93,Trafostation,,,,,,
94,Trafostation,,,,,,
95,Trafostation,,,,,,
96,,,,,,,
97,Pritzwalk Langhof,,,,,,
98,,,,,,,
99,,6.0,6.0,0.0,12.0,31536.0,2328.066149091183
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,Trafostation,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,5.0,4.0,1.0,15.866,29292.7392,2190.1826546830484
108,,,,,,,
109,Trafostation,,,,,,
110,Mellnsdorf,,,,,,
111,,,,,,,
112,,,,,,,
113,Trafohäuschen mit Schmetterlingen,,,,,,
114,,,,,,,
115,Umspannwerk,,,,,,
116,,,,,,,
117,Trafostation,,,,,,
118,,,,,,,
119,Eichengrund-Siedlung Ⅰ,,,,,,
120,Gallinchen GG 4.2.,3.0,0.0,3.0,11.82,12425.184000000001,2044.3083964647255
121,Kutzeburger Mühle,,,,,,
122,Rasenweg,,,,,,
123,Kiekebusch Gartenstraße,,,,,,
124,Drosselweg,,,,,,
125,Sielow Siedlung,,,,,,
126,Gallinchen Dorf,,,,,,
127,Schorbuser Weg,,,,,,
128,Trafostation,,,,,,
129,Trafostation,,,,,,
130,,,,,,,
131,Trafostation,,,,,,
132,,,,,,,
133,Trafostation,,,,,,
134,Trafostation,,,,,,
135,Trafostation,,,,,,
136,Trafostation,,,,,,
137,Trafostation,,,,,,
138,Trafostation,,,,,,
139,Trafostation,,,,,,
140,Trafostation,,,,,,
141,Trafostation,,,,,,
142,TrSt Ehst Am Umspannwerk,,,,,,
143,,,,,,,
144,Trafostation,,,,,,
145,,,,,,,
146,Trafostation,,,,,,
147,Trafostation,,,,,,
148,Trafostation,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,Malterhausen Dorf,,,,,,
157,,,,,,,
158,TrSt Dorfstraße,3.0,3.0,0.0,1.7999999999999998,4730.4,1755.5513014511755
159,Niedergörsdorf 1,,,,,,
160,TrSt Flugplatz 2,,,,,,
161,TrSt Mühlenweg,,,,,,
162,Kaltenborn 1,,,,,,
163,Tiefenbrunnen 2,8.0,8.0,0.0,16.0,42048.0,1480.9514822149872
164,Trafostation,,,,,,
165,,,,,,,
166,,,,,,,
167,Weinberge 2,,,,,,
168,Schönefeld,9.0,9.0,0.0,20.8,54662.4,1801.4789679222563
169,Trafostation,,,,,,
170,,,,,,,
171,Schaltstation Danna,,,,,,
172,Trafostation Wergzahna,4.0,4.0,0.0,6.5,17082.0,3957.3371941458286
173,,,,,,,
174,Trafostation,,,,,,
175,Trafostation,,,,,,
176,Trafostation,,,,,,
177,,,,,,,
178,,2.0,2.0,0.0,4.0,10512.0,1868.0182180632528
179,,13.0,13.0,0.0,23.619999999999997,62073.36,2077.9372222158686
180,,,,,,,
181,,,,,,,
182,Herzfelde Dorf,,,,,,
183,,,,,,,
184,Trafostation,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,TrSt WAZ,14.0,14.0,0.0,9.6,25228.8,1741.3248390163997
194,,,,,,,
195,TrSt Dorfstraße,,,,,,
196,Trafostation,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,Gölsdorf 1,,,,,,
201,TrSt Kitzinger Stra0e,,,,,,
202,TrSt Bahnhof,,,,,,
203,TrSt Wittenberger Straße,,,,,,
204,Zinnaer Vorstadt,,,,,,
205,,1.0,1.0,0.0,2.0,5256.0,530.9475560047263
206,,,,,,,
207,TS Eberswalder Straße,,,,,,
208,,,,,,,
209,Tst Mahlenziener Str.2,,,,,,
210,,,,,,,
211,,,,,,,
212,Trafostation,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,Trafostation,,,,,,
220,,,,,,,
221,Wahlsdorf 3,9.0,9.0,0.0,26.41,69405.48,2186.6960699939527
222,,,,,,,
223,Stat. Querstraße,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,TS Potsdamer Straße,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,Trafostation,,,,,,
236,Trafostation,5.0,5.0,0.0,10.0,26280.0,5751.328833713648
237,,3.0,0.0,3.0,0.135891,142.8486192,1465.3565800872914
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,,,,,,,
242,,,,,,,
243,,,,,,,
244,,,,,,,
245,,,,,,,
246,,,,,,,
247,,,,,,,
248,,,,,,,
249,,,,,,,
250,,,,,,,
251,,,,,,,
252,,1.0,0.0,1.0,22.0,23126.399999999998,997.6349638632194
253,,,,,,,
254,,,,,,,
255,,,,,,,
256,,,,,,,
257,,,,,,,
258,,,,,,,
259,,,,,,,
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,,,,,,,
264,,,,,,,
265,,,,,,,
266,TrSt Köhlerwald,,,,,,
267,,7.0,7.0,0.0,14.0,36792.0,895.5652494368609
268,,4.0,4.0,0.0,8.0,21024.0,1055.202031821884
269,TrSt Kirche,4.0,4.0,0.0,9.05,23783.4,1453.2523738488248
270,Trafostation Tongrubenweg,,,,,,
271,,,,,,,
272,,,,,,,
273,SSt Klein Dölln,,,,,,
274,,,,,,,
275,TrSt Groß Väter Diakonie,,,,,,
276,,,,,,,
277,,,,,,,
278,,,,,,,
279,KAH Groß Dölln,,,,,,
280,Groß Schönebeck Station Hammer Chaussee,,,,,,
281,St. Eberswalder Straße,,,,,,
282,,,,,,,
283,Alte Schäferei,,,,,,
284,,,,,,,
285,,13.0,13.0,0.0,36.45,95790.59999999999,1893.1891946949067
286,,12.0,12.0,0.0,30.3,79628.4,1052.3812702222856
287,TrSt Birkenhof,,,,,,
288,,8.0,8.0,0.0,18.799999999999997,49406.399999999994,2410.459358272392
289,,6.0,6.0,0.0,14.399999999999999,37843.2,2470.4351838400166
290,Groß Dölln Kl. Dellenstraße,,,,,,
291,"TrSt Groß Dölln, Reihenstraße",,,,,,
292,,26.0,22.0,4.0,86.488,178586.26559999998,1923.1867443590522
293,,14.0,14.0,0.0,23.6,62020.799999999996,1738.4225778796156
294,,,,,,,
295,Trafostation Vogelsang Dorf,,,,,,
296,,,,,,,
297,,,,,,,
298,Trafostation Wesendorf (PVA),,,,,,
299,Trafostation Wesendorf Dorf,,,,,,
300,SSt. Stausee,,,,,,
301,St. Kartoffellager,,,,,,
302,"Trafostation Michelsdorf ""Dachskuten""",,,,,,
303,,,,,,,
304,Meßstation Vogelsang,,,,,,
305,TST Burgwall Übergabe,,,,,,
306,Trafohäuschen mit Butterblumen,,,,,,
