substation_id,substation_name,total_capacity_mw,total_energy_mwh,n_plants,avg_distance_m
1002,,0.032,33.6384,1,411.6495779127413
1042,,69.3,72848.16,3,3577.4150455803997
107,,15.866,29292.7392,5,2190.1826546830484
1107,,27.96694,29398.847328,7,1345.6263994346543
1110,TrSt Karlstein,42.45,111558.6,9,1358.2103226420177
1111,Bandelow Dorf I,81.9,215233.2,21,2712.6803970550104
1126,,4.0,10512.0,2,1504.511779538474
1140,Wendemark Wasserwerk,19.43,51062.03999999999,9,1211.6199904806983
1141,,5.7,14979.599999999999,1,5426.054370653441
120,Gallinchen GG 4.2.,11.82,12425.184000000001,3,2044.3083964647255
1217,,58.457143,61450.1487216,2,1418.2082906283335
1275,,17.3,45464.399999999994,3,988.6445344051855
1284,,2.0,5256.0,1,2898.547666570906
1285,Station Brüssow Löcknitzer Straße,42.0,110376.0,21,2393.118855459778
1286,,15.5,40734.0,9,1150.8292876948756
1287,,3.0,7884.0,2,701.6887984848827
1288,,2.0,5256.0,1,1128.9173003149738
1289,,26.078400000000002,33090.09408,7,4723.18416256816
1290,,23.0,60444.0,12,5858.455335874813
1295,,3.0,7884.0,2,6053.548818542191
1305,Wolfshagen Dorf,1.5,3942.0,1,6397.2316212793585
1311,,4.6,12088.8,2,1953.675186416985
1313,,41.4,108799.2,19,1748.987711717694
1364,Schaltwerk Nitzahn,58.695,61700.183999999994,4,2866.0867395384785
1389,Umspannwerk Bertikow,22.52,59182.56,5,1912.897683485951
1393,,4.0,10512.0,2,1854.5942787180516
1397,Umspannwerk Willmersdorf,8.9,23389.2,3,1762.7895558309945
1402,Etzin,28.0,73584.0,14,1396.0359932179883
1406,Christinendorf,32.5,85410.0,13,1081.5722621124444
1409,Kemlitz,4.0,10512.0,2,4101.885569266334
1420,Cottbus/Halde,4.0,10512.0,2,308.38663151172375
1435,Charlottenfelde,34.41,90429.48,12,1674.9120264278706
1436,Güstow,15.350000000000001,40339.799999999996,5,720.6753506382544
1438,Spremberg,0.09309999999999999,97.86671999999999,1,2349.3402361788985
